iteration,mean_acc,std_acc,mean_loss,std_loss,mode
19000,0.30666667222976685,0.0,2.0352063179016113,0.0,train
19000,0.5866133459210395,0.09008636330172444,1.1678954591751098,0.11630137302317356,validation
19500,0.3266666829586029,0.0,1.9229339361190796,0.0,train
19500,0.5834533466994762,0.08850453375412495,1.1872467635273933,0.1117053371582238,validation
20000,0.3933333456516266,0.0,1.6974812746047974,0.0,train
20000,0.5860933461785316,0.08933447909531725,1.1559167301654816,0.11744341433895271,validation
20500,0.25333333015441895,0.0,1.9996466636657715,0.0,train
20500,0.5867466792166233,0.08678142638592452,1.1609048430919646,0.11212179090882651,validation
21000,0.42000001668930054,0.0,1.6496117115020752,0.0,train
21000,0.5888400134146213,0.08789330106575387,1.1472070274353028,0.11980096000543881,validation
21500,0.35333335399627686,0.0,1.8460724353790283,0.0,train
